Account,Expected Sign,Accounts.Account Title,AccountControl.Account Title,Classification,Narration,,,,,,,,,,
002/102,Cr,Lambs,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/104,Cr,Ewe Hoggets,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/106,Cr,Two Tooths,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/108,Cr,MA Ewes,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/110,Cr,R5yr and Older Ewes,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/112,Cr,Ram and Wether Lambs,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/114,Cr,Ram and Wether Hoggets,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/116,Cr,MA Wethers,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/120,Cr,Breeding Rams,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/200,Cr,Market Value,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/202,Cr,Lambs,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/204,Cr,Ewe Hoggets,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/206,Cr,Two Tooths,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/208,Cr,MA Ewes,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/210,Cr,R5yr and Older Ewes,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/212,Cr,Ram and Wether Lambs,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/214,Cr,Ram and Wether Hoggets,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/216,Cr,MA Wethers,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/220,Cr,Breeding Rams,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/300,Cr,High Priced,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/302,Cr,Lambs,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/304,Cr,Ewe Hoggets,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/306,Cr,Two Tooths,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/308,Cr,MA Ewes,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/310,Cr,R5yr and Older Ewes,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/312,Cr,Ram & Wether Lambs,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/314,Cr,Ram and Wether Hoggets,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/316,Cr,MA Wethers,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/320,Cr,Breeding Rams,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/400,Cr,Bailed,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/402,Cr,Lambs,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/404,Cr,Ewe Hoggets,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/406,Cr,Two Tooths,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/408,Cr,MA Ewes,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/410,Cr,R5yr and Older Ewes,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/412,Cr,Ram and Wether Lambs,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/414,Cr,Ram and Wether Hoggets,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/416,Cr,MA Wethers,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/420,Cr,Breeding Rams,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/800,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/802,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/804,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/806,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/808,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/810,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/812,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/814,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/816,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/820,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/822,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/824,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/826,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/828,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/830,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/832,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/834,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/836,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/840,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/841,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/842,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/843,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/844,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/846,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/847,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/848,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/849,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/853,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/854,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/855,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/856,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/857,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/859,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/860,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/861,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/862,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/866,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/867,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/868,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/869,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/870,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/871,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/872,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/873,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/874,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/875,Cr,Deaths and Missing,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/900,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/902,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/904,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/906,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/908,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/910,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/912,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/914,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/916,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/920,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/922,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/924,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/926,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/928,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/930,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/932,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/934,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/936,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/940,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/941,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/942,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/943,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/944,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/946,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/947,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/948,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/949,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/953,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/954,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/955,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/956,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/957,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/959,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/960,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/961,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/962,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/966,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/967,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/968,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/969,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/970,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/971,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/972,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/973,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/974,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/975,Cr,Killed for Own Use,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
003/000,Cr,Cattle Sales,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/002,Cr,Calves,Cattle Sales,Income,Bobby Calf Sales,,,,,,,,,,
003/004,Cr,R1yr Heifers,Cattle Sales,Income,R1yr Heifers Sales - Beef,,,,,,,,,,
003/006,Cr,R2yr Heifers,Cattle Sales,Income,R2yr Heifers Sales - Beef,,,,,,,,,,
003/007,Cr,R3yr Heifers,Cattle Sales,Income,MA Cows Sales - Beef,,,,,,,,,,
003/008,Cr,MA Cows,Cattle Sales,Income,MA Cows Sales - Beef,,,,,,,,,,
003/012,Cr,Bobby Calves,Cattle Sales,Income,Bobby Calf Sales - Beef,,,,,,,,,,
003/013,Cr,R1yr Steers/Bulls,Cattle Sales,Income,R1yr Steers/Bulls - Beef,,,,,,,,,,
003/014,Cr,R2yr Steers/Bulls,Cattle Sales,Income,R2yr Steers/Bulls - Beef,,,,,,,,,,
003/015,Cr,R3yr Steers/Bulls,Cattle Sales,Income,R3yr Steers/Bulls - Beef,,,,,,,,,,
003/017,Cr,R1yr Bulls/Steers,Cattle Sales,Income,R1yr Steers/Bulls - Beef,,,,,,,,,,
003/018,Cr,R2yr Bulls/Steers,Cattle Sales,Income,R2yr Steers/Bulls - Beef,,,,,,,,,,
003/019,Cr,R3yr Bulls/Steers,Cattle Sales,Income,R3yr Steers/Bulls - Beef,,,,,,,,,,
003/020,Cr,Breeding Bulls,Cattle Sales,Income,Breeding Bull Sales - Beef,,,,,,,,,,
003/030,Cr,Pool Payments,Cattle Sales,Income,Loyalty Payments,,,,,,,,,,
003/040,Cr,Bailed Cattle,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/098,Cr,Holding Gains,Cattle Sales,Income,Beef - Holding Gain,,,,,,,,,,
003/099,Cr,Cattle Revaluation,Cattle Sales,Income,Beef - Holding Gain,,,,,,,,,,
003/100,Cr,National Standard Cost,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/102,Cr,Calves,Cattle Sales,Income,Bobby Calf Sales - Beef,,,,,,,,,,
003/104,Cr,R1yr Heifers,Cattle Sales,Income,R1yr Heifers Sales - Beef,,,,,,,,,,
003/106,Cr,R2yr Heifers,Cattle Sales,Income,R2yr Heifers Sales - Beef,,,,,,,,,,
003/107,Cr,R3yr Heifers,Cattle Sales,Income,MA Cows Sales - Beef,,,,,,,,,,
003/108,Cr,MA Cows,Cattle Sales,Income,MA Cows Sales - Beef,,,,,,,,,,
003/112,Cr,Bobby Calves,Cattle Sales,Income,Bobby Calf Sales - Beef,,,,,,,,,,
003/113,Cr,R1yr Steers/Bulls,Cattle Sales,Income,R1yr Steers/Bulls - Beef,,,,,,,,,,
003/114,Cr,R2yr Steers/Bulls,Cattle Sales,Income,R2yr Steers/Bulls - Beef,,,,,,,,,,
003/115,Cr,R3yr Steers/Bulls,Cattle Sales,Income,R3yr Steers/Bulls - Beef,,,,,,,,,,
003/117,Cr,R1yr Bulls/Steers,Cattle Sales,Income,R1yr Steers/Bulls - Beef,,,,,,,,,,
003/118,Cr,R2yr Bulls/Steers,Cattle Sales,Income,R2yr Steers/Bulls - Beef,,,,,,,,,,
003/119,Cr,R3yr Bulls/Steers,Cattle Sales,Income,R3yr Steers/Bulls - Beef,,,,,,,,,,
003/120,Cr,Breeding Bulls,Cattle Sales,Income,Breeding Bull Sales - Beef,,,,,,,,,,
003/200,Cr,Market Value,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/202,Cr,Calves,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/204,Cr,R1yr Heifers,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/206,Cr,R2yr Heifers,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/207,Cr,R2yr Heifers,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/208,Cr,MA Cows,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/212,Cr,Bobby Calves,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/213,Cr,R1yr Steers/Bulls,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/214,Cr,R2yr Steers/Bulls,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/215,Cr,R3yr Steers/Bulls,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/217,Cr,R1yr Bulls/Steers,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/218,Cr,R2yr Bulls/Steers,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/219,Cr,R3yr Bulls/Steers,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/220,Cr,Breeding Bulls,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/300,Cr,High Priced,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/302,Cr,Calves,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/304,Cr,R1yr Heifers,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/306,Cr,R2yr Heifers,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/307,Cr,R3yr Heifers,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/308,Cr,MA Cows,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/312,Cr,Bobby Calves,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/313,Cr,R1yr Steers/Bulls,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/314,Cr,R2yr Steers/Bulls,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/315,Cr,R3yr Steers/Bulls,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/317,Cr,R1yr Bulls/Steers,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/318,Cr,R2yr Bulls/Steers,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/319,Cr,R3yr Bulls/Steers,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/320,Cr,Breeding Bulls,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/400,Cr,Bailed,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/402,Cr,Calves,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/404,Cr,R1yr Heifers,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/406,Cr,R2yr Heifers,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/407,Cr,R3yr Heifers,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/408,Cr,MA Cows,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/412,Cr,Bobby Calves,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/413,Cr,R1yr Steers/Bulls,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/414,Cr,R2yr Steers/Bulls,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/415,Cr,R3yr Steers/Bulls,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/417,Cr,R1yr Bulls/Steers,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/418,Cr,R2yr Bulls/Steers,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/419,Cr,R3yr Bulls/Steers,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/420,Cr,Breeding Bulls,Cattle Sales,Unknown,Unknown,,,,,,,,,,
003/800,Cr,Deaths and Missing,Cattle Sales,Income,Death and Missing - Beef,,,,,,,,,,
003/802,Cr,Deaths and Missing,Cattle Sales,Income,Death and Missing - Beef,,,,,,,,,,
003/804,Cr,Deaths and Missing,Cattle Sales,Income,Death and Missing - Beef,,,,,,,,,,
003/806,Cr,Deaths and Missing,Cattle Sales,Income,Death and Missing - Beef,,,,,,,,,,
003/807,Cr,Deaths and Missing,Cattle Sales,Income,Death and Missing - Beef,,,,,,,,,,
003/808,Cr,Deaths and Missing,Cattle Sales,Income,Death and Missing - Beef,,,,,,,,,,
003/812,Cr,Deaths and Missing,Cattle Sales,Income,Death and Missing - Beef,,,,,,,,,,
003/813,Cr,Deaths and Missing,Cattle Sales,Income,Death and Missing - Beef,,,,,,,,,,
